Module	Section	Sample Name	Source
FastQC	all_sections	137.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/137.trim_fastqc.zip
FastQC	all_sections	139.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/139.trim_fastqc.zip
FastQC	all_sections	140.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/140.trim_fastqc.zip
FastQC	all_sections	141.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/141.trim_fastqc.zip
FastQC	all_sections	156.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/156.trim_fastqc.zip
FastQC	all_sections	159.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/159.trim_fastqc.zip
FastQC	all_sections	161.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/161.trim_fastqc.zip
FastQC	all_sections	162.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/162.trim_fastqc.zip
FastQC	all_sections	168.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/168.trim_fastqc.zip
FastQC	all_sections	169.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/169.trim_fastqc.zip
FastQC	all_sections	171.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/171.trim_fastqc.zip
FastQC	all_sections	172.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/172.trim_fastqc.zip
FastQC	all_sections	181.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/181.trim_fastqc.zip
FastQC	all_sections	183.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/183.trim_fastqc.zip
FastQC	all_sections	184.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/184.trim_fastqc.zip
FastQC	all_sections	185.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/185.trim_fastqc.zip
FastQC	all_sections	291.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/291.trim_fastqc.zip
FastQC	all_sections	292.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/292.trim_fastqc.zip
FastQC	all_sections	293.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/293.trim_fastqc.zip
FastQC	all_sections	294.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/294.trim_fastqc.zip
FastQC	all_sections	295.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/295.trim_fastqc.zip
FastQC	all_sections	296.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/296.trim_fastqc.zip
FastQC	all_sections	298.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/298.trim_fastqc.zip
FastQC	all_sections	299.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/299.trim_fastqc.zip
FastQC	all_sections	301.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/301.trim_fastqc.zip
FastQC	all_sections	302.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/302.trim_fastqc.zip
FastQC	all_sections	303.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/303.trim_fastqc.zip
FastQC	all_sections	304.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/304.trim_fastqc.zip
FastQC	all_sections	305.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/305.trim_fastqc.zip
FastQC	all_sections	306.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/306.trim_fastqc.zip
FastQC	all_sections	307.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/307.trim_fastqc.zip
FastQC	all_sections	308.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/308.trim_fastqc.zip
FastQC	all_sections	309.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/309.trim_fastqc.zip
FastQC	all_sections	311.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/311.trim_fastqc.zip
FastQC	all_sections	312.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/312.trim_fastqc.zip
FastQC	all_sections	313.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/313.trim_fastqc.zip
FastQC	all_sections	314.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/314.trim_fastqc.zip
FastQC	all_sections	315.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/315.trim_fastqc.zip
FastQC	all_sections	316.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/316.trim_fastqc.zip
FastQC	all_sections	317.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/317.trim_fastqc.zip
FastQC	all_sections	318.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/318.trim_fastqc.zip
FastQC	all_sections	319.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/319.trim_fastqc.zip
FastQC	all_sections	321.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/321.trim_fastqc.zip
FastQC	all_sections	322.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/322.trim_fastqc.zip
FastQC	all_sections	323.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/323.trim_fastqc.zip
FastQC	all_sections	324.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/324.trim_fastqc.zip
FastQC	all_sections	325.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/325.trim_fastqc.zip
FastQC	all_sections	326.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/326.trim_fastqc.zip
FastQC	all_sections	327.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/327.trim_fastqc.zip
FastQC	all_sections	328.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/328.trim_fastqc.zip
FastQC	all_sections	329.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/329.trim_fastqc.zip
FastQC	all_sections	331.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/331.trim_fastqc.zip
FastQC	all_sections	332.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/332.trim_fastqc.zip
FastQC	all_sections	333.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/333.trim_fastqc.zip
FastQC	all_sections	334.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/334.trim_fastqc.zip
FastQC	all_sections	335.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/335.trim_fastqc.zip
FastQC	all_sections	336.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/336.trim_fastqc.zip
FastQC	all_sections	337.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/337.trim_fastqc.zip
FastQC	all_sections	338.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/338.trim_fastqc.zip
FastQC	all_sections	339.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/339.trim_fastqc.zip
FastQC	all_sections	34.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/34.trim_fastqc.zip
FastQC	all_sections	341.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/341.trim_fastqc.zip
FastQC	all_sections	342.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/342.trim_fastqc.zip
FastQC	all_sections	343.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/343.trim_fastqc.zip
FastQC	all_sections	344.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/344.trim_fastqc.zip
FastQC	all_sections	345.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/345.trim_fastqc.zip
FastQC	all_sections	346.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/346.trim_fastqc.zip
FastQC	all_sections	347.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/347.trim_fastqc.zip
FastQC	all_sections	348.trim	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/trimmed/348.trim_fastqc.zip
