"","go","process","count","genes","fold_enrichment","p_value","fdr","perc_total","contrast","GO.category","term","GOSlim_bin","aspect"
"1","GO:0006310","DNA recombination",6,"Q9H5L6, Q9DE26, Q14191, Q9H611, Q5ZJT0, Q9FT73",5.9406150583245,0.00318301462747534,1,0.0967741935483871,"Dabob Bay ~
Fidalgo Bay","Biological Processes","DNA recombination","DNA metabolism","P"
"2","GO:1901214","regulation of neuron death",3,"Q5S007, Q9UHD2, D3ZUQ0",25.6189024390244,0.00552870413415572,1,0.0483870967741935,"Dabob Bay ~
Fidalgo Bay","Biological Processes",NA,NA,NA
"3","GO:0071346","cellular response to interferon-gamma",3,"Q61830, Q8CGC7, Q76LX8",18.6319290465632,0.0105550413995389,1,0.0483870967741935,"Dabob Bay ~
Fidalgo Bay","Biological Processes",NA,NA,NA
"4","GO:0032508","DNA duplex unwinding",4,"Q14191, Q9H611, Q5ZJT0, Q9FT73",8.53963414634146,0.0108977700671976,1,0.0645161290322581,"Dabob Bay ~
Fidalgo Bay","Biological Processes","DNA duplex unwinding","DNA metabolism","P"
"5","GO:0006508","proteolysis",10,"P69527, Q8C8H8, Q54G06, Q95M12, P06868, Q76LX8, Q61391, Q9WTZ2, Q08BB2, A3KG59",2.70027957196568,0.0111865342222833,1,0.161290322580645,"Dabob Bay ~
Fidalgo Bay","Biological Processes","proteolysis","protein metabolism","P"
"6","GO:0098656","anion transmembrane transport",3,"O95477, O15438, Q9R1N3",12.8094512195122,0.0219664549739379,1,0.0483870967741935,"Dabob Bay ~
Fidalgo Bay","Biological Processes",NA,NA,NA
"7","GO:0000209","protein polyubiquitination",5,"Q8CFD5, Q949V6, Q86Y13, O95271, Q9UKA2",4.11548633558625,0.0322964693613828,1,0.0806451612903226,"Dabob Bay ~
Fidalgo Bay","Biological Processes","protein polyubiquitination","protein metabolism","P"
"8","GO:0043171","peptide catabolic process",3,"P69527, Q76LX8, Q08BB2",9.7595818815331,0.036677469768977,1,0.0483870967741935,"Dabob Bay ~
Fidalgo Bay","Biological Processes","peptide catabolic process","other metabolic processes","P"
"9","GO:0009636","response to toxic substance",4,"Q9BX84, Q9Z2J0, Q76LX8, Q9WTR6",5.25515947467167,0.0394309563296359,1,0.0645161290322581,"Dabob Bay ~
Fidalgo Bay","Biological Processes","response to toxin","other biological processes","P"
"10","GO:0007040","lysosome organization",3,"Q5S007, O95477, Q9WTZ2",8.91092258748674,0.0433685603278639,1,0.0483870967741935,"Dabob Bay ~
Fidalgo Bay","Biological Processes","lysosome organization","cell organization and biogenesis","P"
"11","GO:0051607","defense response to virus",4,"Q8K268, Q53G44, Q9UGM3, Q9UHD2",4.33759194734805,0.0632698464434495,1,0.0645161290322581,"Dabob Bay ~
Fidalgo Bay","Biological Processes","defense response to virus","stress response","P"
"12","GO:0006810","transport",12,"Q9Z2J0, P49793, Q8VCL5, B9EJ86, Q01650, O15438, A4QN56, Q7ZV68, Q9WTR6, Q32LQ6, Q99758, O97562",1.759237935727,0.0753593709681249,1,0.193548387096774,"Dabob Bay ~
Fidalgo Bay","Biological Processes","transport","transport","P"
"13","GO:0060355","positive regulation of cell adhesion molecule production",2,"P49817, Q2LK54",19.5191637630662,0.0973425945844833,1,0.032258064516129,"Dabob Bay ~
Fidalgo Bay","Biological Processes","positive regulation of cell adhesion molecule production","other biological processes","P"
"14","GO:0005524","ATP binding",26,"Q63413, Q5S007, O95477, O42127, Q9UHD2, Q9FT73, Q8CGC7, Q4QY64, P41252, Q14191, Q9BYK8, O15438, Q5ZJT0, Q8K268, Q9BX84, O43301, Q1ZXD6, E9QAM5, Q55E58, Q9H611, O02811, Q9WV04, Q9DE26, Q15477, Q8MVR1, Q99758",1.55526041172564,0.0219873649839521,1,0.40625,"Dabob Bay ~
Fidalgo Bay","Molecular Function","ATP binding","other molecular function","F"
"15","GO:0008233","peptidase activity",7,"Q8C8H8, Q54G06, Q95M12, Q76LX8, Q61391, Q9WTZ2, Q08BB2",3.13752187226597,0.0233611103148242,1,0.109375,"Dabob Bay ~
Fidalgo Bay","Molecular Function","peptidase activity","other molecular function","F"
"16","GO:0070006","metalloaminopeptidase activity",3,"P69527, B1AVD1, Q54G06",10.757217847769,0.0305421823722159,1,0.046875,"Dabob Bay ~
Fidalgo Bay","Molecular Function","metalloaminopeptidase activity","other molecular function","F"
"17","GO:0003678","DNA helicase activity",3,"Q14191, Q9H611, Q5ZJT0",7.4473046638401,0.0599380805355196,1,0.046875,"Dabob Bay ~
Fidalgo Bay","Molecular Function","DNA helicase activity","other molecular function","F"
