Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	6	4.10958904109589	0.0031830146274753365	Q9H5L6, Q9DE26, Q14191, Q9H611, Q5ZJT0, Q9FT73	123	69	8403	5.9406150583244965	0.9008742582017563	1.0	1.0
GOTERM_BP_DIRECT	GO:1901214~regulation of neuron death	3	2.054794520547945	0.005528704134155717	Q5S007, Q9UHD2, D3ZUQ0	123	8	8403	25.61890243902439	0.9820368328835687	1.0	1.0
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	3	2.054794520547945	0.0105550413995389	Q61830, Q8CGC7, Q76LX8	123	11	8403	18.631929046563194	0.9995440271051654	1.0	1.0
GOTERM_BP_DIRECT	GO:0032508~DNA duplex unwinding	4	2.73972602739726	0.010897770067197608	Q14191, Q9H611, Q5ZJT0, Q9FT73	123	32	8403	8.539634146341465	0.9996453040646553	1.0	1.0
GOTERM_BP_DIRECT	GO:0006508~proteolysis	10	6.8493150684931505	0.01118653422228326	P69527, Q8C8H8, Q54G06, Q95M12, P06868, Q76LX8, Q61391, Q9WTZ2, Q08BB2, A3KG59	123	253	8403	2.7002795719656802	0.9997129749890489	1.0	1.0
GOTERM_BP_DIRECT	GO:0098656~anion transmembrane transport	3	2.054794520547945	0.02196645497393787	O95477, O15438, Q9R1N3	123	16	8403	12.809451219512194	0.9999998984992542	1.0	1.0
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	5	3.4246575342465753	0.03229646936138285	Q8CFD5, Q949V6, Q86Y13, O95271, Q9UKA2	123	83	8403	4.115486335586247	0.9999999999539546	1.0	1.0
GOTERM_BP_DIRECT	GO:0043171~peptide catabolic process	3	2.054794520547945	0.036677469768976984	P69527, Q76LX8, Q08BB2	123	21	8403	9.759581881533101	0.999999999998284	1.0	1.0
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	4	2.73972602739726	0.03943095632963595	Q9BX84, Q9Z2J0, Q76LX8, Q9WTR6	123	52	8403	5.25515947467167	0.9999999999997846	1.0	1.0
GOTERM_BP_DIRECT	GO:0007040~lysosome organization	3	2.054794520547945	0.043368560327863945	Q5S007, O95477, Q9WTZ2	123	23	8403	8.910922587486745	0.999999999999989	1.0	1.0
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	4	2.73972602739726	0.06326984644344952	Q8K268, Q53G44, Q9UGM3, Q9UHD2	123	63	8403	4.337591947348046	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006810~transport	12	8.21917808219178	0.07535937096812485	Q9Z2J0, P49793, Q8VCL5, B9EJ86, Q01650, O15438, A4QN56, Q7ZV68, Q9WTR6, Q32LQ6, Q99758, O97562	123	466	8403	1.7592379357269967	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060355~positive regulation of cell adhesion molecule production	2	1.36986301369863	0.09734259458448331	P49817, Q2LK54	123	7	8403	19.519163763066203	1.0	1.0	1.0
