Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008332~low voltage-gated calcium channel activity	3	0.9259259259259258	0.0038599358747396003	Q9EQ60, O43497, O54898	277	3	7588	27.39350180505415	0.8508440817793089	1.0	1.0
GOTERM_MF_DIRECT	GO:0008106~alcohol dehydrogenase (NADP+) activity	3	0.9259259259259258	0.012256993090359478	Q6AZW2, Q5ZK84, P50578	277	5	7588	16.43610108303249	0.9976835117620847	1.0	1.0
GOTERM_MF_DIRECT	GO:0052689~carboxylic ester hydrolase activity	6	1.8518518518518516	0.012842986426993103	Q5VWZ2, Q8N0W4, Q64573, P70665, Q5GRG2, B2GV54	277	39	7588	4.214384893085254	0.9982700727419734	1.0	1.0
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	28	8.641975308641975	0.014106909229681715	Q6YP21, Q9JHB5, Q3T0K2, Q9VU02, Q5RK09, Q7KZ85, P13010, Q80XS6, Q7Z6Z7, Q9BYK8, O60783, O15116, O15213, P21127, Q80XI3, Q8K013, Q13263, Q14258, Q62318, P31948, Q5QJE6, Q91WM3, Q5U2R4, E9QAM5, O60832, Q8JG64, P42696, Q5RB69	277	477	7588	1.6080042988291745	0.9990789717736199	1.0	1.0
GOTERM_MF_DIRECT	GO:0004032~alditol:NADP+ 1-oxidoreductase activity	3	0.9259259259259258	0.017946765246074633	Q5ZK84, P16116, P50578	277	6	7588	13.696750902527075	0.9998649685284662	1.0	1.0
GOTERM_MF_DIRECT	GO:0003743~translation initiation factor activity	6	1.8518518518518516	0.02092677521515338	Q9DCH4, Q28C65, P70541, O77210, Q80XI3, Q5RK09	277	44	7588	3.7354775188710203	0.9999697262975791	1.0	1.0
GOTERM_MF_DIRECT	GO:0005102~receptor binding	10	3.0864197530864197	0.02158301036272954	Q9QYH9, Q9BXJ5, Q6IMN6, Q4GZT3, Q99996, P06868, Q8R054, P20918, Q99572, P41317	277	113	7588	2.424203699562314	0.9999782328886728	1.0	1.0
GOTERM_MF_DIRECT	GO:0005328~neurotransmitter:sodium symporter activity	4	1.2345679012345678	0.03899854514009522	P28572, B3MRS1, Q28039, A7Y2X0	277	21	7588	5.217809867629363	0.9999999968360456	1.0	1.0
GOTERM_MF_DIRECT	GO:0004298~threonine-type endopeptidase activity	3	0.9259259259259258	0.06842160059613434	A1XQU1, P25789, Q58DU5	277	12	7588	6.8483754512635375	0.9999999999999993	1.0	1.0
GOTERM_MF_DIRECT	GO:0005178~integrin binding	5	1.5432098765432098	0.06981298807820743	O54890, P82198, O14495, P04937, P22105	277	43	7588	3.1852909075644362	0.9999999999999997	1.0	1.0
GOTERM_MF_DIRECT	GO:0047939~L-glucuronate reductase activity	2	0.6172839506172839	0.07142805032314205	Q5ZK84, P50578	277	2	7588	27.39350180505415	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0004418~hydroxymethylbilane synthase activity	2	0.6172839506172839	0.07142805032314205	Q2KIN5, P08397	277	2	7588	27.39350180505415	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0086059~voltage-gated calcium channel activity involved SA node cell action potential	2	0.6172839506172839	0.07142805032314205	O43497, O54898	277	2	7588	27.39350180505415	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0035851~Krueppel-associated box domain binding	2	0.6172839506172839	0.07142805032314205	Q62318, Q13263	277	2	7588	27.39350180505415	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0097110~scaffold protein binding	4	1.2345679012345678	0.09402269316537043	Q9EQ60, O43497, Q8N0W4, O54898	277	30	7588	3.652466907340554	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0044325~ion channel binding	5	1.5432098765432098	0.09591328457317477	O70511, Q4GZT3, O08852, Q99996, A2ASQ1	277	48	7588	2.8534897713598073	1.0	1.0	1.0
