Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	12	17.647058823529413	1.042218522545747E-4	Q9Z339, P49894, P11714, P51174, Q64583, P10632, O42412, P34277, Q7Z449, Q0IIF9, Q6VVW9, Q9R0H0	57	431	8403	4.104530467700574	0.04532197434560059	0.023096474482991555	0.022992670103292718
GOTERM_BP_DIRECT	GO:0002591~positive regulation of antigen processing and presentation of peptide antigen via MHC class I	3	4.411764705882353	2.5951094924709614E-4	P08183, P21440, P06795	57	4	8403	110.5657894736842	0.10907707526439991	0.023096474482991555	0.022992670103292718
GOTERM_BP_DIRECT	GO:0002489~antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	3	4.411764705882353	2.5951094924709614E-4	P08183, P21440, P06795	57	4	8403	110.5657894736842	0.10907707526439991	0.023096474482991555	0.022992670103292718
GOTERM_BP_DIRECT	GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	3	4.411764705882353	2.5951094924709614E-4	P08183, P21440, P06795	57	4	8403	110.5657894736842	0.10907707526439991	0.023096474482991555	0.022992670103292718
GOTERM_BP_DIRECT	GO:0002481~antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	3	4.411764705882353	2.5951094924709614E-4	P08183, P21440, P06795	57	4	8403	110.5657894736842	0.10907707526439991	0.023096474482991555	0.022992670103292718
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	4	5.88235294117647	0.00491817920002973	P48035, O35488, P51174, Q9R0H0	57	52	8403	11.340080971659917	0.8885288419637041	0.3647649573355383	0.36312556426886167
GOTERM_BP_DIRECT	GO:0008152~metabolic process	6	8.823529411764707	0.007056762017283537	Q9Z339, O35488, P51174, P34277, P47713, Q9R0H0	57	182	8403	4.860034702139965	0.957207461760585	0.4486084425273105	0.4465922248080867
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	3	4.411764705882353	0.008446210447969895	P51174, P21440, Q9R0H0	57	21	8403	21.06015037593985	0.9770520439141209	0.4698204561683254	0.46770890355633293
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	3	4.411764705882353	0.010089420380751413	Q95JD5, P10632, O43704	57	23	8403	19.22883295194508	0.9890300468964995	0.4988657854927087	0.496623692074764
GOTERM_BP_DIRECT	GO:0006810~transport	9	13.23529411764706	0.011444044013910843	Q9Z2J0, P48035, P08183, Q8R4G9, Q7TM99, P21440, P06795, Q99758, P43006	57	466	8403	2.847187711768692	0.9940357012927602	0.5092599586190325	0.5069711498162504
GOTERM_BP_DIRECT	GO:0042493~response to drug	5	7.352941176470589	0.01290621564196701	P08183, Q8R4G9, P06795, Q99758, P43006	57	137	8403	5.38033038801383	0.9969132912344258	0.5221150873341199	0.5197685026719441
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	6	8.823529411764707	0.015475855338119297	Q9Z2J0, P08183, Q7TM99, P21440, P06795, Q99758	57	221	8403	4.002381519409383	0.9990323122560785	0.573896302121924	0.571316992898904
GOTERM_BP_DIRECT	GO:0097267~omega-hydroxylase P450 pathway	2	2.941176470588235	0.019862265636331578	P10632, Q7Z449	57	3	8403	98.28070175438596	0.9998673327582016	0.6799006313975041	0.6768448982226839
GOTERM_BP_DIRECT	GO:0030855~epithelial cell differentiation	3	4.411764705882353	0.027613018897558683	Q9UGM3, Q95JD5, O43704	57	39	8403	11.340080971659917	0.9999961237181358	0.8776995292438295	0.8737548122584641
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	3	4.411764705882353	0.03744747087966089	Q95JD5, P10632, O43704	57	46	8403	9.61441647597254	0.9999999579393906	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0006940~regulation of smooth muscle contraction	2	2.941176470588235	0.03933692880831328	P49817, Q8R4G9	57	6	8403	49.14035087719298	0.9999999824556265	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0009812~flavonoid metabolic process	2	2.941176470588235	0.0521083773063786	Q95JD5, O43704	57	8	8403	36.85526315789473	0.9999999999545415	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	4	5.88235294117647	0.054401858152447	O35488, P51174, P47713, Q9R0H0	57	129	8403	4.571195430436556	0.9999999999845317	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0042446~hormone biosynthetic process	2	2.941176470588235	0.0647130292463374	P49894, O42412	57	10	8403	29.484210526315785	0.9999999999998824	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0045332~phospholipid translocation	2	2.941176470588235	0.0647130292463374	P08183, P21440	57	10	8403	29.484210526315785	0.9999999999998824	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0042403~thyroid hormone metabolic process	2	2.941176470588235	0.07095347609153978	Q95JD5, O43704	57	11	8403	26.80382775119617	0.999999999999994	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0006855~drug transmembrane transport	2	2.941176470588235	0.08331193592345923	P08183, P21440	57	13	8403	22.680161943319835	1.0	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0010942~positive regulation of cell death	2	2.941176470588235	0.0894304736566484	O95069, Q8CJ26	57	14	8403	21.06015037593985	1.0	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0000038~very long-chain fatty acid metabolic process	2	2.941176470588235	0.09550889700595859	O35488, Q9R0H0	57	15	8403	19.65614035087719	1.0	1.0	0.9977477477477478
GOTERM_BP_DIRECT	GO:0051923~sulfation	2	2.941176470588235	0.09550889700595859	Q95JD5, O43704	57	15	8403	19.65614035087719	1.0	1.0	0.9977477477477478
