Module	Section	Sample Name	Source
FastQC	all_sections	34_S68_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/34_S68_L002_R1_001_fastqc.zip
FastQC	all_sections	35_S72_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/35_S72_L002_R1_001_fastqc.zip
FastQC	all_sections	37_S70_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/37_S70_L002_R1_001_fastqc.zip
FastQC	all_sections	39_S52_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/39_S52_L002_R1_001_fastqc.zip
FastQC	all_sections	401_S10_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/401_S10_L002_R1_001_fastqc.zip
FastQC	all_sections	402_S5_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/402_S5_L002_R1_001_fastqc.zip
FastQC	all_sections	403_S30_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/403_S30_L002_R1_001_fastqc.zip
FastQC	all_sections	404_S42_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/404_S42_L002_R1_001_fastqc.zip
FastQC	all_sections	411_S9_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/411_S9_L002_R1_001_fastqc.zip
FastQC	all_sections	412_S74_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/412_S74_L002_R1_001_fastqc.zip
FastQC	all_sections	413_S38_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/413_S38_L002_R1_001_fastqc.zip
FastQC	all_sections	414_S49_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/414_S49_L002_R1_001_fastqc.zip
FastQC	all_sections	41_S62_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/41_S62_L002_R1_001_fastqc.zip
FastQC	all_sections	421_S22_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/421_S22_L002_R1_001_fastqc.zip
FastQC	all_sections	431b_S8_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/431b_S8_L002_R1_001_fastqc.zip
FastQC	all_sections	432_S75_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/432_S75_L002_R1_001_fastqc.zip
FastQC	all_sections	434_S55_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/434_S55_L002_R1_001_fastqc.zip
FastQC	all_sections	43_S46_L002_R1_001	/Volumes/Bumblebee/O.lurida_QuantSeq-2020/qc-processing/fastqc/untrimmed/43_S46_L002_R1_001_fastqc.zip
